TAXAS	3300005062_4	3300006249_7	3300007098_3	3300008268_8	3300011799_3	3300012811_5	3300013014_21	3300013138_52	3300014780_5	3300020426_2	3300025161_16	3300025471_17	3300025846_9	3300026121_15	3300026907_2	3300027043_5	3300027850_47	3300028070_3	3300028084_3	3300028087_3	3300028569_14	3300028994_3	3300029051_9	3300029323_5	3300029839_14
PUL0355	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
PUL0356	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	2	0	0	0	0	0
PUL0361	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0364	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
PUL0365	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0
PUL0366	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1
PUL0368	0	1	0	0	0	0	1	1	1	0	3	0	0	1	1	0	0	0	0	0	2	1	1	0	1
PUL0369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PUL0370	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1
PUL0374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PUL0375	2	0	0	0	0	2	0	0	0	2	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0
PUL0376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PUL0380	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PUL0381	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0
PUL0382	0	0	0	1	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
PUL0383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PUL0384	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0
PUL0390	2	0	0	1	0	0	3	6	2	3	2	1	0	4	3	1	0	1	0	0	1	0	3	3	2
PUL0392	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0
PUL0394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PUL0396	2	1	0	0	0	0	3	1	1	0	0	0	0	4	1	0	0	0	0	0	1	0	1	0	0
PUL0397	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0399	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1
PUL0401	1	1	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
PUL0402	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0403	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PUL0404	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
PUL0406	0	2	0	0	6	3	3	2	1	0	0	1	1	1	1	1	0	0	0	0	5	2	3	6	2
PUL0409	0	0	0	0	0	1	1	2	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
PUL0410	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	1
PUL0413	5	0	0	0	1	1	2	2	3	1	6	4	0	1	2	0	2	1	1	2	4	3	1	2	2
PUL0414	1	3	0	2	0	0	1	0	0	0	1	0	0	2	0	3	1	1	0	0	2	0	1	1	0
PUL0415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
PUL0416	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
PUL0417	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0419	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PUL0420	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
PUL0422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PUL0424	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
PUL0425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
PUL0428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
PUL0429	1	0	1	0	0	1	0	2	0	1	3	2	0	3	5	0	1	0	1	0	2	0	0	0	0
PUL0430	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0
PUL0431	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
PUL0432	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PUL0434	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PUL0435	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PUL0436	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	4	1	1	1	1	0	0	0	0
PUL0437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PUL0438	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0
PUL0439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PUL0440	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0441	0	0	4	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PUL0442	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
PUL0443	0	0	1	1	2	1	1	0	0	1	2	0	0	0	0	0	0	1	1	1	3	0	0	0	0
PUL0446	0	0	0	0	0	0	1	0	0	0	0	3	2	0	0	2	1	0	0	0	1	0	0	0	0
PUL0448	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0449	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
PUL0450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PUL0451	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0
PUL0452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
PUL0453	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
PUL0454	1	0	0	1	0	1	0	2	0	1	0	2	0	5	0	0	0	0	0	0	1	0	1	0	0
PUL0458	2	0	0	0	2	0	2	0	1	0	2	0	0	3	2	0	0	0	0	0	1	0	0	0	1
PUL0459	0	0	0	1	2	0	0	2	1	1	1	0	0	4	2	1	0	0	0	0	2	0	0	0	0
PUL0460	0	2	0	0	0	0	3	6	2	2	0	0	2	5	10	2	2	1	0	0	7	0	0	1	0
PUL0461	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0463	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0
PUL0466	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0467	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0
PUL0468	0	0	2	1	0	2	5	0	0	1	0	0	0	3	0	0	1	2	0	2	3	0	0	0	0
PUL0471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
PUL0472	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0473	0	0	3	3	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0
PUL0474	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
PUL0475	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PUL0476	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0478	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0479	0	0	0	0	1	4	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0
PUL0480	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PUL0482	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	2	3	1	1	0	0	0	0
PUL0483	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
PUL0485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0
PUL0486	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PUL0487	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PUL0488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
PUL0489	0	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0
PUL0490	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0491	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PUL0492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PUL0493	0	1	0	1	0	0	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	2	0
PUL0494	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1
PUL0495	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
PUL0496	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PUL0498	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
PUL0500	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0
PUL0501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1
PUL0502	2	0	2	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0503	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PUL0505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PUL0506	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
PUL0507	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
PUL0509	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PUL0510	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PUL0511	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
PUL0512	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PUL0513	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	1	0	0	0	0	0
PUL0514	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
PUL0516	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0
PUL0517	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0
PUL0518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1
PUL0519	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1
PUL0521	0	0	1	2	0	0	0	0	0	0	1	2	1	0	0	1	0	3	2	3	0	0	0	0	0
PUL0522	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0
PUL0523	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
PUL0524	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0526	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
PUL0527	3	1	1	3	2	1	1	1	1	2	2	0	4	2	1	1	3	2	2	1	4	0	0	1	1
PUL0529	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0530	1	1	1	1	4	1	0	1	0	0	1	2	4	4	1	3	2	2	1	2	1	1	0	1	0
PUL0532	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PUL0534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
PUL0535	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0536	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	2	0	0	0	0	0
PUL0539	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0540	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
PUL0541	1	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0543	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0544	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PUL0545	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PUL0546	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0547	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
PUL0548	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PUL0549	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0550	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PUL0553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
PUL0554	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
PUL0555	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0559	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
PUL0560	0	0	1	0	1	3	0	0	1	0	1	0	0	0	0	0	0	2	1	1	1	1	1	0	0
PUL0563	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0564	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
PUL0569	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
PUL0571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PUL0572	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
PUL0574	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1
PUL0575	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
PUL0576	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
PUL0577	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PUL0579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
PUL0582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PUL0583	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
PUL0584	1	3	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1
PUL0588	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PUL0591	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	1	1	0	0
PUL0593	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0
PUL0595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
PUL0598	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PUL0599	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0
PUL0600	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0
PUL0601	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	2	0
PUL0602	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0
